CHARTER,REG,ASSET,DEP,TYPE
N,SOUTHERN,127455,121645,FAILURE
NM,SOUTHERN,49612,47100,FAILURE
NM,MIDWESTERN,173062,182760,FAILURE
NM,SOUTHERN,70997,72821,FAILURE
N,WESTERN,131418,128867,FAILURE
SB,SOUTHERN,755923,659742,FAILURE
SM,SOUTHERN,2612515,2169446,FAILURE
NM,MIDWESTERN,197442,182794,FAILURE
NM,WESTERN,10895336,7653666,FAILURE
SB,MIDWESTERN,12994,12730,FAILURE
NM,SOUTHERN,153639,149616,FAILURE
NM,MIDWESTERN,26882,27534,FAILURE
NM,MIDWESTERN,81843,80688,FAILURE
N,WESTERN,7781100,6145207,FAILURE
NM,SOUTHERN,256330,224653,FAILURE
N,WESTERN,213205,170685,FAILURE
N,WESTERN,2319263,1757986,FAILURE
N,SOUTHERN,118236,97590,FAILURE
N,WESTERN,3594544,2891576,FAILURE
NM,SOUTHERN,325474,307166,FAILURE
N,MIDWESTERN,4680881,3716626,FAILURE
NM,SOUTHERN,82774,83254,FAILURE
SB,SOUTHERN,65498,64798,FAILURE
NM,SOUTHERN,110094,102386,FAILURE
NM,MIDWESTERN,99057,75012,FAILURE
N,SOUTHERN,177563,170118,FAILURE
NM,MIDWESTERN,262093,253992,FAILURE
SM,MIDWESTERN,327444,272782,FAILURE
SM,WESTERN,766359,626359,FAILURE
N,WESTERN,37142,29568,FAILURE
SM,MIDWESTERN,504816,467767,FAILURE
NM,MIDWESTERN,52347,50801,FAILURE
NM,SOUTHERN,2230230,1960123,FAILURE
SB,SOUTHERN,518151,462611,FAILURE
SM,MIDWESTERN,2839747,2254025,FAILURE
NM,MIDWESTERN,72576,64981,FAILURE
NM,WESTERN,968385,917729,FAILURE
N,MIDWESTERN,7003321,7060693,FAILURE
SB,MIDWESTERN,147961,110186,FAILURE
NM,WESTERN,107235,95734,FAILURE
SB,MIDWESTERN,503643,394369,FAILURE
NM,MIDWESTERN,15723,14479,FAILURE
NM,MIDWESTERN,209848,209211,FAILURE
SB,SOUTHERN,451888,382159,FAILURE
NM,WESTERN,1211431,905593,FAILURE
NM,MIDWESTERN,458533,432818,FAILURE
NM,SOUTHERN,163755,154903,FAILURE
SB,SOUTHERN,144688,131510,FAILURE
SB,SOUTHERN,13464352,11984112,FAILURE
SM,SOUTHERN,586586,539422,FAILURE
NM,WESTERN,158517,143834,FAILURE
N,WESTERN,119529,110362,FAILURE
SM,WESTERN,1397798,1372744,FAILURE
SL,NORTHEASTERN,12947,12984,FAILURE
NM,SOUTHERN,25455112,20072099,FAILURE
NM,SOUTHERN,447667,394701,FAILURE
N,SOUTHERN,92528,92352,FAILURE
SM,WESTERN,199508,180691,FAILURE
NM,SOUTHERN,105298,98511,FAILURE
NM,NORTHEASTERN,163372,155463,FAILURE
SB,MIDWESTERN,606153,538787,FAILURE
NM,MIDWESTERN,1595657,1546525,FAILURE
NM,SOUTHERN,90867,98161,FAILURE
NM,NORTHEASTERN,55707,56145,FAILURE
NM,SOUTHERN,190564,179523,FAILURE
NM,SOUTHERN,259182,256578,FAILURE
NM,SOUTHERN,184184,182413,FAILURE
NM,SOUTHERN,943744,831437,FAILURE
NM,SOUTHERN,371624,313155,FAILURE
NM,SOUTHERN,432712,375238,FAILURE
NM,SOUTHERN,114113,108499,FAILURE
NM,WESTERN,1396622,1276287,FAILURE
SM,MIDWESTERN,210844,232203,FAILURE
N,WESTERN,1638378,1526186,FAILURE
NM,WESTERN,70188,66598,FAILURE
NM,SOUTHERN,118601,115478,FAILURE
NM,MIDWESTERN,889172,832160,FAILURE
NM,MIDWESTERN,74808,74896,FAILURE
NM,MIDWESTERN,69609,65179,FAILURE
NM,MIDWESTERN,30073,30806,FAILURE
NM,MIDWESTERN,55027,48131,FAILURE
N,MIDWESTERN,148218,140185,FAILURE
NM,WESTERN,75316,70078,FAILURE
SM,SOUTHERN,201222,189398,FAILURE
NM,WESTERN,480619,409951,FAILURE
SM,SOUTHERN,212616,190070,FAILURE
NM,MIDWESTERN,84763,69254,FAILURE
NM,SOUTHERN,371695,297962,FAILURE
NM,SOUTHERN,966778,768479,FAILURE
N,MIDWESTERN,156954,142551,FAILURE
NM,MIDWESTERN,212718,209285,FAILURE
NM,MIDWESTERN,546576,479384,FAILURE
N,MIDWESTERN,438560,393635,FAILURE
SB,SOUTHERN,13111463,8775985,FAILURE
NM,WESTERN,334608,304464,FAILURE
NM,NORTHEASTERN,40657,40664,FAILURE
NM,WESTERN,281564,286040,FAILURE
N,SOUTHERN,4157246,3314928,FAILURE
NM,SOUTHERN,105950,105940,FAILURE
SB,WESTERN,490656,370580,FAILURE
SM,MIDWESTERN,167710,149065,FAILURE
NM,WESTERN,1260354,866492,FAILURE
NM,WESTERN,238940,220834,FAILURE
SB,MIDWESTERN,166456,170946,FAILURE
NM,WESTERN,1774588,1496347,FAILURE
NM,SOUTHERN,492418,402820,FAILURE
